grid_id,collisions,severe_collisions,severe_rate,highway_share,ramp_share,top_route,hotspot_tier
199,196,37,0.18877551020408162,0.6428571428571429,0.35714285714285715,102,Critical
123,220,34,0.15454545454545454,0.5727272727272728,0.19090909090909092,102,Critical
163,132,26,0.19696969696969696,0.4696969696969697,0.5303030303030303,0,Critical
125,103,24,0.23300970873786409,0.39805825242718446,0.27184466019417475,111,Critical
238,110,24,0.21818181818181817,0.8636363636363636,0.06363636363636363,102,Critical
198,80,20,0.25,0.85,0.15,102,Critical
122,114,20,0.17543859649122806,0.8859649122807017,0.02631578947368421,102,Critical
160,142,20,0.14084507042253522,0.5211267605633803,0.4788732394366197,102,Critical
162,144,19,0.13194444444444445,0.4305555555555556,0.5555555555555556,0,Critical
315,55,16,0.2909090909090909,0.6363636363636364,0.12727272727272726,102,Critical
45,17,13,0.7647058823529411,0,0,333,Critical
277,45,10,0.2222222222222222,0.8222222222222222,0.17777777777777778,102,Critical
84,26,9,0.34615384615384615,0.46153846153846156,0,333,Critical
276,18,8,0.4444444444444444,0.7777777777777778,0,102,Critical
201,48,8,0.16666666666666666,0.6041666666666666,0.3958333333333333,118,Critical
234,23,7,0.30434782608695654,0.782608695652174,0,101,Critical
168,10,6,0.6,0.8,0.1,107,Elevated
165,18,6,0.3333333333333333,0.8888888888888888,0,107,Elevated
115,22,6,0.2727272727272727,0.9545454545454546,0,103,Elevated
161,64,6,0.09375,0.09375,0.078125,7,Elevated
155,11,5,0.45454545454545453,1,0,103,Elevated
247,12,5,0.4166666666666667,0,0,7,Elevated
47,15,5,0.3333333333333333,0,0,306,Elevated
120,20,5,0.25,0.9,0.1,103,Elevated
205,7,4,0.5714285714285714,0,0,7,Elevated
79,9,4,0.4444444444444444,0,0,333,Elevated
167,11,4,0.36363636363636365,1,0,107,Elevated
206,16,4,0.25,0.1875,0.0625,7,Elevated
164,19,4,0.21052631578947367,0.8947368421052632,0,107,Elevated
296,4,3,0.75,0,0,7,Watch
437,7,3,0.42857142857142855,0,0,224,Watch
46,8,3,0.375,0,0,333,Watch
